Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,DirectTrade
Pilot Coffee Roasters,Catalan De Las Mercedes,Guatemala,Chimaltenango,Nicholas Hammond,"Red Bourbon, Yellow Bourbon",Washed - Reposado,"1800m, 2200m","Fig, Roasted Hazelnut, Round",Yes
Pilot Coffee Roasters,Gachatha washed  Kenya,Kenya,Nyeri,Gachatha F.C.,SL28 + SL34,Washed,1800m - 2100m,"Papaya, Grape, Juicy",No
Pilot Coffee Roasters,"Las Palmas, El Volcan, Colombia",Colombia,"Paicol, Huila",Chalo Fernandez,Castillo,Washed,1550m,"Cacao nibs, Floral, Smooth",Yes
Pilot Coffee Roasters,"San Jerónimo, Guatemala",Guatemala,Chimaltenango,Ruth Alvarado de Martinez,"Caturra, Catuai, Pache San Ramón, Bourbon",Washed,1300m - 1500m,"Caramel, Raisin, Creamy",Yes
Pilot Coffee Roasters,"Sumava De Lourdes, Kinkajou  Costa Rica",Costa Rica,"Lourdes de Naranjo, West Valley",Francisco Mena,Caturra,Black Honey,1600m,"Peach, Cantaloupe, Smooth",Yes
