Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,DirectTrade
Pilot Coffee Roasters,"Las Palmas, Colombia, Washed","Paicol, Huila",Castillo,Colombia,Washed,1550mm,NA,Yes,Chalo Fernandez
Pilot Coffee Roasters,"San Jerónimo, Guatemala, Washed",Guatemala,Chimaltenango,Ruth de Los Angeles Martinez,"Caturra, Catuai + San Ramón",Washed,1300 - 1500m,"Milk Chocolate, Orange, Smooth",Yes
Pilot Coffee Roasters,"Santa Maria, El Salvador, Natural Process, Pacamara",NA,NA,NA,NA,NA,NA,NA,NA
