Roaster,CoffeeName,Region,Variety,Processing,TastingNotes,Country
Monogram Coffee,"Algeciras, Colombia, Washed"," HUILA, COLOMBIA "," CATURRA, COLOMBIA, CASTILLO ", WASHED ," RED APPLE, CHOCOLATE, HAZELNUT",COLOMBIA
Monogram Coffee,"Cajamarca, Peru, Washed"," CAJAMARCA, PERU "," CATURRA, TYPICA, CATIMOR PACHE ", WASHED ," APPLE, CARAMEL, TOASTED ALMOND",PERU
Monogram Coffee,"El Fuerte Natural Java, Bolivia, Coco Natural"," SAMAIPATA, BOLIVIA ", JAVA , COCO NATURAL ," CACAO NIB, GRAPE, ALMOND",BOLIVIA
Monogram Coffee,"La Llama Peaberry, Bolivia, Coco Natural"," CARANAVI, BOLIVIA ", PEABERRY CATURRA , COCO NATURAL ," BLACKBERYY, GUAVA, CHOCOLATE",BOLIVIA
Monogram Coffee,"Los Rodriguez Gesha, Bolivia, Natural Lactic"," CARANAVI, BOLIVIA ", GESHA , NATURAL LACTIC ," GRAPE POPSICLE, WATERMELON, ORANGE",BOLIVIA
Monogram Coffee,"Moonlight, Brazil, Natural, semiwashed"," CERRADO REGION, BRAZIL  "," BOURBON, CATUAI ", NATURAL AND SEMI-WASHED  ," ALMOND, MILK CHOCOLATE, DATE",BRAZIL
