Roaster,CoffeeName,Region,Producer,Variety,Processing,TastingNotes
Detour,"CHELBESA, ETHIOPIA, Washed"," GEDEB, YIRGACHEFFE, ETHIOPIA ", VARIOUS SMALLHOLDERS WASHING , 1974/1974 JARC SELECTIONS & LOCAL LANDRACES , WASHED ,TEA ROSE / WHITE GRAPE / TANGERINE 
Detour,"FINCA EL ANONAL, GUATEMALA, Washed", Washed , Finca El Anonal, Orlando Martinez ," Bourbon, Caturra ", Huehuetenango 
