Roaster,CoffeeName,Region,Variety,Processing,Altitude,TastingNotes
The Library Specialty Coffee,"Potosi, Colombia, Washed", Cauca , Caturra , Double Fermentation Washed , 1400 - 1860 m ," Citrus fruit, Molasses, Hazelnut"
The Library Specialty Coffee,Specialty Coffee LAS BRISAS  COLOMBIA, ," Caturra, ", , 1750 ," Maple, Apple, Raspberry"
