Roaster,CoffeeName,Region,Variety,Processing,TastingNotes,Country
Monogram Coffee,"Baragwi Kangongo AA, Kenya, Double Washed"," KIRINYAGA, KENYA "," SL28, SL34, RUIRI 11, BATIAN ", DOUBLE WASHED ," GRANNY SMITH APPLE, MULLING SPICES, FIG",KENYA
Monogram Coffee,"Barko Muda Miju, Ethiopia, Natural"," GUJI, ETHIOPIA ", LANDRACE CULTIVARS , NATURAL  ," STRAWBERRY, CHOCOLATE, BLACK TEA",ETHIOPIA
Monogram Coffee,"Cafeco, Mexico, Washed"," CHIAPAS, MEXICO "," BOURBON, TYPICA ", WASHED TASTING ," BROWN SUGAR, ORANGE. CHOCOLATE",MEXICO
Monogram Coffee,"Los Volcanes, Guatemala, Washed"," ANTIGUA, GUATEMALA "," BOURBON, CATUAI, CATURRA, TYPICA ", WASHED TASTING ," CARAMEL, HAZELNUT, CHOCOLATE",GUATEMALA
Monogram Coffee,Milligrams  Instant Coffee,NA,NA,NA,NA,NA
Monogram Coffee,"Planadas, Colombia, Washed"," PLANADAS, COLOMBIA "," CATURRA, COLOMBIA CASTILLO ", WASHED ," ORANGE, CARAMEL, VANILLA",COLOMBIA
Monogram Coffee,"Rafael Amaya, Colombia, Anaerobic Natural"," HUILA, COLOMBIA ", CATURRA , 200 HOUR ANAEROBIC FERMENTATION ," RED APPLE, WATERMELON, MOLASSES",COLOMBIA
Monogram Coffee,"Rutuma Ruthagati AA, Kenya, Washed"," NYERI, KENYA "," SL28, SL34, RUIRI 11, BATIAN ", DOUBLE WASHED ," RUBY GRAPEFRUIT, LIME, CABERNET SAUVIGNON",KENYA
