Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,DirectTrade
Pilot Coffee Roasters,Academy,NA,NA,NA,NA,NA,NA,NA,NA
Pilot Coffee Roasters,"Bella Vista, Mexico, Washed",NA,NA,NA,NA,NA,NA,NA,NA
Pilot Coffee Roasters,Community,NA,NA,NA,NA,NA,NA,NA,NA
Pilot Coffee Roasters,"Kiamogumo, Kenya, Washed",NA,NA,NA,NA,NA,NA,NA,NA
Pilot Coffee Roasters,"La Guachoca, El Salvador, Washed",NA,NA,NA,NA,NA,NA,NA,NA
