Roaster,CoffeeName,Country,Region,Farm,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Pista,Uraga,Ethiopia,Guji,,,Heirloom,Natural,2000,"strawberry, lemon, tropical fruit, floral",,,,
Pista,La Esperanza,Guatemala,Huehuetenango,M. Morales Carillo,,"Bourbon, Caturra, Pache, San Ramon, Typica",Washed,1750,"plum, cherry, milk chocolate",,,,
Zab Café,Ethiopie - Hambella,Ethiopia,,,Hambella Washing Station,Heirloom,Washed,1800 - 2200,"floral, grapefruit, brown sugar, wild raspberry",,,,
Zab Café,Ethiopie - Banko Michicha,Ethiopia,Oromia,,Banko Michicha Station,Heirloom,Natural,1900 - 2030,"blueberry, beaujolais, brown sugar, chocolate",,,,
Escape Coffee Roasters,El Zonte - new crop,El Salvador,Santa Ana,San Jose,,"Bourbon, Caturra",Natural,1300 - 1600,"red berries, green apple, chocolate cake",,,,
Traffic,Guji,Ethiopia,Larcho Torka Forest,,,Landrace,Washed,2500,"lilac candy, melba peaches, limonade",,,,
Traffic,Buzi,Burundi,Buziraguhindwa,,Salum Ramadhan,Bourbon,Natural,1900,"banana, flowers, tropical fruit",,,,
Rabbit Hole Roasters,Mexico Oaxaca,Mexico,Sierra Mixteca Guadalupe Mirimar,,Community of 79 Producers,Typica,Washed,1400,"grapefruit, almond, milk chocolate",,,,
Rabbit Hole Roasters,Tanzanie Amkeni,Tanzania,Kilimanjaro city of Mwika,Coop Amkeni AMCOS,40 Producers,Bourbon,Washed,1706,"butterscotch, lemon, passion fruit",,,,
Rabbit Hole Roasters,Ethiopia Gomma Abalulessa,Ethiopia,Oma Funtule Kebele,,Mustefa & Musa Abalulessa Abagibe,"74110, 74112, 74165",Natural,2103,"black tea, tangerine, raspberry",,,,
Rabbit Hole Roasters,Brazil Sitio Posses,Brazil,Campestres,,Jose Luis Correa,Yellow Catuai,Natural,1250,"dark chocolate, hazelnut, lemon, earl grey",,,,
Zab Café,Bresil - Joyeux Roger,Brazil,Cerrado Mineiro,,Lucio Gondim Velloso,,Natural,800 - 1300,"chocolate, candied orange, almond",,,,
Traffic,Selin Recinos,Honduras,,Selin Recinos,,Bourbon,Honey,1900,"peach, chomeur's pudding, brown sugar",,,,
Traffic,Guido,Colombia,Narino,El Guabito,Guido Ordonez,"Caturra, Colombia",Washed,1900,"tangerine, orange zest, baking spices, milk chocolate, maple syrup",,,,
Traffic,Ana Sora,Ethiopia,Gedeo,Israel Degfa,,Heirloom,Natural,2350,"strawberry, floral, berries",,,,
Traffic,Wote,Ethiopia,Konga,,Wote,Heirloom,Washed,1800,"jasmine, honeydew, honey, bergamot",,,,
