Roaster,CoffeeName,Region,Variety,Processing,TastingNotes,Country
Monogram Coffee,"Chelchele, Ethiopia, Natural"," KOCHERE, ETHIOPIA ", LANDRACE CULTIVARS , NATURAL ," PEACH, RAINIER CHERRY, JASMINE",ETHIOPIA
Monogram Coffee,"Floripondio, Bolivia, Natural Gesha"," SAMAIPATA, BOLIVIA ", GESHA , NATURAL ," LEMONGRASS, PEACH, PERFUMED",BOLIVIA
Monogram Coffee,"La Esperanza, Guatemala, Washed"," HUEHUETENANGO, GUATEMALA "," BOURBON, CATUAI, CATURRA, PACHE ", WASHED ," BROWN SUGAR, GREEN APPLE, BLACK TEA",GUATEMALA
Monogram Coffee,Los Angeles," HUEHUETENANGO, GUATEMALA "," BOURBON, CATUAI, CATURRA ", WASHED ," BROWN SUGAR, BROWNIE, WALNUT",GUATEMALA
Monogram Coffee,"Mahiga AA, Kenya, Washed"," MUMWE, NYERI, KENYA ","SL28, SL34, RUIRU 11, BATIAN ", DOUBLE WASHED ," BLACKBERRY, GRAPEFRUIT, LIME ZEST",KENYA
Monogram Coffee,"San Vicente, Colombia, Washed"," HUILA, COLOMBIA "," CASTILLO, CATURRA, COLOMBIA ", WASHED ," CHOCOLATE, BROWN SUGAR, ORANGE",COLOMBIA
