Roaster,CoffeeName,Region,Variety,Processing,TastingNotes,Country
Monogram Coffee,"El Burro, Panama, Gesha Natural"," BOQUETE, PANAMA ", GESHA , ANAEROBIC SLOW DRY NATURAL ," RASPBERRY, CHERRY, LACTIC, FLORAL HONEY",PANAMA
Monogram Coffee,"Elkin Guzman, Colombia, Natural Lactic"," PITALITO, HUILA, COLOMBIA ", TABI , NATURAL LACTIC ," STRAWBERRY, LEMON ICED TEA, DARK HONEY",COLOMBIA
Monogram Coffee,Finca Takesi Red Catuai, BOLIVIA , RED CATUAI , WASHED ," BLACK TEA, HONEY, APPLE",BOLIVIA
Monogram Coffee,"Frank Torres, Colombia, Honey Process"," LA UNION, NARINO, COLOMBIA ",CATURRA , HONEY ," STRAWBERRY, DULCE DE LECHE, YOGURT",COLOMBIA
Monogram Coffee,Giovanny Hernandez," PITALITO, HUILA ", TABI , DOUBLE FERMENTATION WASHED ," DRIED CHERRY, ALMOND, COCOA",HUILA
Monogram Coffee,Warmth Filter  Rodulfo Jacinto Lopez," LA DEMOCRACIA, HUEHUETENANGO, GUATEMALA ",BOURBON AND CATURRA , WASHED  ,"BROWN SUGAR, NECTARINE, BISCUIT COOKIE",GUATEMALA
