Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Stay Golden Coffee Co.,Benti Nenka,Ethiopia,Hambela Wamena,Eyasu Worasa,"JARC Selections, Indigenous Ethiopian Landraces",Washed,1950 - 2110,"Blackberry, stone fruit, juicy",,,,
Metric Coffee,Peru El Rejo,Peru,,Jose Rivera,"Bourbon, Caturra",Washed,1750,"Vanilla, green apple, juicy, balanced",,,,
Equator Coffees,Colombia Coffee for Peace,Colombia,"Inza, Cauca",Victor Chachuz Guevara,Castillo,Washed,1810,"Papaya, watermelon, dark chocolate",,,,
Tandem Coffee Roasters,Chelbesa,Ethiopia,Gedeb,Smallholder farmers,"Dega, Wolisho",Washed,1900 - 2200,"Honeysuckle, peach, clean, sweet",,,,
Metric Coffee,Honduras Alma Pineda,Honduras,,,Parainema,Washed,1750,"Tangerine, brown sugar, fresh snap pea",,,,
Panther Coffee,Mejor,Colombia,Cauca,Various smallholders,Castillo,Washed,1700 - 1900,"Montmorency cherry, citrus, milk chocolate, bright, sweet, silky",June,,2° 28' N,
Corvus Coffee Roasters,Finca Kusillo,Bolivia,Caranavi,Pedro Rodriguez and Family,Caturra,Washed,1600,"Dark chocolate, bing cherry, red fruits",,,,
Corvus Coffee Roasters,La Llama,Bolivia,Caranavi,Pedro Rodriguez and Family,Caturra,Washed,1780,"Honey, cocoa, Asian pear, apple, cherry",,,,
Corvus Coffee Roasters,Bole Hora,Ethiopia,West Guji,Biniyam,Ethiopia Heirloom,Washed,,"Redcurrant, blackberry, elegant",,,,
Corvus Coffee Roasters,Kebun Galla,Sumatra,,Voster Hutabaret,"Ateng, P88",Fully Washed,,"Cedar, plum, spice",,,,
Sweet Bloom Coffee Roasters,Elvia Gomez,Colombia,Narino,"Elvia and Hector Gomez, Finca La Veranera",Caturra,Honey,2200,"Guava, raspberry, white grape",,,,
Sweet Bloom Coffee Roasters,La Danta AAA,Peru,Cajamarca,Various,"Typica, Caturra, Bourbon",Washed,1500 - 1850,"Cola, plum jelly, maple syrup",,,,
Sweet Bloom Coffee Roasters,Familia Morales - Honeyed,Ecuador,Pichincha,"Morales Family, Finca Cruz","Typica, Cidra, Bourbon, Caturra",Honey,1450,"Mission fig, chocolate cordial, blackberry",,,,
Sweet Bloom Coffee Roasters,Familia Morales - Washed,Ecuador,Pichincha,"Morales Family, Finca Cruz","Typica, Cidra, Bourbon, Caturra",Washed,1450,"Rainier cherry, apple, caramel",,,,
Sweet Bloom Coffee Roasters,Guillermo Lomas,Ecuador,Pichincha,"Guillermo Lomas, Finca Color",Typica,Washed,1350,"Peach, mandarin, brown sugar",,,,
Atlas Coffee Club,Brazil Mantiqueria de Minas,Brazil,Mantiqueria de Minas,Cocarive,,Natural,1000,"Coconut, chocolate, vanilla",,,,
Atlas Coffee Club,Ethiopia Yirgacheffe,Ethiopia,Yirgacheffe,Dumerso,Ethiopian Heirloom,Natural,1900,"Raspberry, blueberry, sweet chocolate",,,,
Atlas Coffee Club,Costa Rica Palmares,Costa Rica,Palmares,,"Caturra, Catuai",Sundried,1400,"Milk chocolate, sweet cream, black tea",,,,
Atlas Coffee Club,Peru Amazonas,Peru,Amazonas,Norcafe Cooperative,,Washed,1500,"Toffee, chocolate, caramel",,,,
Atlas Coffee Club,Colombia Andean Region,Colombia,Andean Region,Lorenzo Plazas,,"Fully Washed, Sundried",1650,"Plum/grape, graham cracker, toasted marshmallow",,,,
Atlas Coffee Club,Indonesia Sumatra,Indonesia,Sumatra,Ketiara Cooperative,,Wet Hulling,1350,"Earthy, bell pepper, rich chocolate",,,,
Atlas Coffee Club,Guatemala Huehuetenango,Guatemala,Huehuetenango,Cooperative IncoffeeIn,"Bourbon, Typica",Washed,1800,"Cherry, milk chocolate",,,,
Atlas Coffee Club,Kenya Nyeri,Kenya,Nyeri,,SL-28 AA,Washed,1900,"Grapefruit, citrus, chocolate",,,,
Driftaway Coffee,CCR | Colombia Risaralda Finca Mustafa Crucero,Colombia,Risaralda,Ana Mustafa,Castillo,Semi-washed,1600,"Orange, cherry, cinnamon",October - December,,,
Driftaway Coffee,PCA | Peru Cajamarca Nancy Mendoza Arribasplata,Peru,Cajamarca,Nancy Mendoza Arribasplata,"Catimor, Pache, Bourbon",Washed,1800 - 1900,"Cinnamon, vanilla, gingerbread",August - October,,,
Driftaway Coffee,TZI | Tanzania Mbozi Iyenga,Tanzania,Mbozi,Iyenga AMCOS,"Bourbon, Jackson",Washed,1675 - 1900,"Apricot, brown sugar, toffee",July - December,,,
Driftaway Coffee,BSN | Brazil Ecoagricola Fazenda Serra Do Cabral Natural,Brazil,Chapada de Minas,Roberto and Marcelo Flanzer,Catuai,Natural,1100,"Dark chocolate, almond, toast",April - August,,,
