Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,HarvestTime,Certification,Latitude,Bean
Wonderstate Coffee,Ethiopia Danche Natural Process,Ethiopia,"Worka Chelbessa, Gedeb",Danche Washing Station,"JARC Varieties: Kurume (74110), Wolisho (74112), Heirloom Varieties",Natural,2000 - 2300,"Peach, orange, marmalade, floral",,Organic,,
Sterling Coffee Roasters,Kebele Birbissa Ethiopia,Ethiopia,,,Heirloom,Dry,2000 - 2150,"Strawberries, peaches",Spring,,,
Novo Coffee,Pinavete Natural,Nicaragua,Nueva Segovia,Olam Sauceda Olivera,Caturra,Sundried,1300 - 1500,"Raspberry, peach, molasses",December - March,,,
Greater Goods Coffee Co.,Bright Minds,Colombia,"San Jose, Caldas","La Esperanza, Estate La Victoria","Colombia, Castillo",Washed,1750 - 1860,"Cherry cola, white pear, syrupy",October - January,,,
Maquina Coffee Roasters,"El Salvador, Montealegre",El Salvador,Apaneca,Familia Moran Garcia,Red Bourbon,Washed,1200 - 1300,"Brown sugar, chocolate, creamy",April - May,,,
Novo Coffee,Bonita Natural,Panama,Boquete,"The Miró Family, Finca Bonita Springs",Caturra,Sundried,1250 - 1270,"Raspberry, rosé, pineapple",October - March,,,
Huckleberry Roasters,Guatemala Monte de Oro,Guatemala,Acatenango,"Mario Alarcon, Finca Monte de Oro",Caturra,"Black Honey, Natural",1550 - 1650,"Grape jam, honey, blueberry muffin",,,,
PT's Coffee Roasting Co.,Kinini Village,Rwanda,Northern Province,Kinini Coffee Cooperative,Bourbon,Washed,1800 - 2200,"Orange, oak, plum",,,,
Methodical Coffee,"Guatemala, Ixlama",Guatemala,Huehuetenango,Over 100 family producers,"Bourbon, Caturra",Washed,1524 - 1830,"Chocolate, apple, caramel",January - April,,,
Kuma Coffee,Guji,Ethiopia,Guji,,Heirloom,Washed,2100 - 2200,"Raspberry, black tea, mango, cane sugar",January - March,,,
Quills Coffee,Jaen,Peru,Jaen,Smallholder farmers,"Caturra, Typica, Catimor, Mundo Novo, Pache",Washed,1650 - 1800,"Butterscotch, Asian pear, elderflower",,,,
Atomic Coffee Roasters,Ethiopia Kochere,Ethiopia,Yirgacheffe,,Ethiopia Heirloom,Fully Washed,1525,"Peach, black tea, floral",,,,
Methodical Coffee,"El Salvador, El Almendro",El Salvador,Apaneca Llamatepec,Jan-Carlo and Sofia Handtke,Bourbon,Natural,1400,"Peach, passionfruit, berries",,,,
Red Bay Coffee,King's Prize,Ethiopia,Yirgacheffe Gedeo,,Indigenous Heirloom Cultivars,Washed,1750 - 2300,"White peach, honeysuckle, melon",October - December,,,
Maquina Coffee Roasters,"Guatemala, Sonrisa",Guatemala,Huehuetenango,ACODIHUE Cooperative,"Caturra, Pache, Bourbon, Typica",Washed,1200 - 1900,"Candied orange, chocolate, vanilla bean",April,,,
Wonderstate Coffee,Ethiopia Danche Barako,Ethiopia,"Chelbessa, Gedeb",Barako Deyaso Small Estate,"JARC Varieties: Kurume (74110), Wolisho (74112), Heirloom Varieties",Washed,2000 - 2200,"Honeysuckle, tangerine, peach",,Organic,,
City of Saints Coffee Roasters,Banko Michica,Ethiopia,Guji,Degefa Sema,Heirloom,Natural/Dry Processed,1900 - 2030,"Raspberry candy, strawberry rhubarb pie",,,,
Joe Coffee,Rwanda Ejo Heza,Rwanda,"Mushubati, Rutsiro District","Ejo Heza, Kopakama Cooperative",Bourbon,Washed,1600 - 2000,"Red plum, orange blossom, custard",April - May,Rainforest Alliance,,
Equator Coffees,Papua New Guinea Kimel Estate,Papua New Guinea,"Waghi Valley, Western Highlands",Kimel Estate,"Mundo Novo, Blue Mountain, Typica, Arusha, Caturra, Catimor",Washed,1585,"Molasses, tobacco, dried apricot",,,,
Methodical Coffee,"Colombia, El Balcon",Colombia,Antioquia,Yenny Ristrepo,Colombia,Natural,1400 - 1900,"Dried fruit, lemon, melon",,,,
Huckleberry Roasters,Ethiopia Nano Challa,Ethiopia,Jimma Zone,Nano Challa Cooperative,Ethiopian Varieties,Washed,1900 - 2100,"Clementine, floral, goji berry, honey",,,,
Methodical Coffee,"El Salvador, El Batallon",El Salvador,Apaneca Llamatepec,Jan-Carlo and Sofia Handtke,Pacamara,Natural,1200 - 1400,"Caramel, grapefruit, orange",,,,
Equator Coffees,Ethiopia Sidama Ardi,Ethiopia,"Guji, Borena Hagermariam District",Nardos Coffee,Heirloom,Natural/Dry Processed,1750 - 1800,"Vanilla, lavender, sweet lemon",,,,
Huckleberry Roasters,Mexico Mazateca,Mexico,Oaxaca,"Smallholder Farmers, Sierra Mazateca Region","Typica, Bourbon",Washed,1600 - 1850,"Shortbread cookie, dried fruit, creamy",,,,
Oren's Daily Roast,Colombia Narino,Colombia,Narino,,"Caturra, Castillo",Washed,,"Pine, green apple, juicy acidity",,,,
Temple Coffee Roasters,Ethiopia Gera Limmu,Ethiopia,"Limmu, Oromia Region",Aklilu Taye,Mixed Heirloom,Washed,1780 - 2100,"Raspberry, tangerine, black tea",,,,
Sparrows Coffee,Joven Burundi Turihamwe,,Ngozi,Turihamwe,Bourbon,Washed,1750,"Melon, black tea, apricot, vanilla",September,,,
Joe Coffee,Burundi Kibingo,Burundi,Kayanza Province,Kibingo Washing Station,Red Bourbon,Washed,1893,"Lavender, kiwi, black tea",April - May,Rainforest Alliance,,
