Roaster,CoffeeName,Country,Region,Producer,Variety,Processing,Altitude,TastingNotes,DirectTrade
Pilot Coffee Roasters,"Ana Sora, Ethiopia, Natural",Ethiopia,"Yirgacheffe, Guji Zone",Esrael Degfa,Heirloom,Natural,1950–2350m,"Raspberry, Marmalade, Syrupy",No
Pilot Coffee Roasters,"Las Palmas, Colombia, Washed","Paicol, Huila",Castillo,Colombia,Washed,1550mm,NA,Yes,Chalo Fernandez
Pilot Coffee Roasters,"San Jerónimo, Guatemala, Washed",Guatemala,Chimaltenango,Ruth de Los Angeles Martinez,"Caturra, Catuai + San Ramón",Washed,1300 - 1500m,"Milk Chocolate, Orange, Smooth",Yes
Pilot Coffee Roasters,"Santa Maria, El Salvador, Natural Process, Pacamara",NA,NA,NA,NA,NA,NA,NA,NA
Pilot Coffee Roasters,"Sumava, Costa Rica, Black Honey process",NA,NA,NA,NA,NA,NA,NA,NA
